time,source,destination,status
1,79,14,up
1,79,14,down
49,14,79,up
49,14,79,down
2252,14,20,up
2252,14,20,down
2455,7,94,up
2455,7,80,up
2455,7,94,down
2455,7,80,down
2532,80,94,up
2759,28,4,up
2759,28,4,down
2845,80,94,down
3317,28,94,up
3407,7,4,up
3407,7,38,up
3407,7,4,down
3407,7,38,down
3463,28,38,up
3567,38,94,up
3888,38,28,up
4037,6,13,up
4037,6,13,down
4106,13,6,up
4291,28,13,up
4291,28,13,down
4370,6,20,up
4422,13,6,down
4442,80,13,up
4758,13,80,up
4911,15,79,up
4911,15,79,down
5018,7,80,up
5018,7,80,down
5127,14,6,up
5127,14,6,down
5175,28,70,up
5175,28,68,up
5175,28,70,down
5208,38,70,up
5208,38,68,up
5208,38,70,down
5396,80,7,up
5396,80,7,down
5530,28,68,down
5545,38,68,down
5545,38,28,down
5627,68,94,up
5627,68,28,up
5627,68,94,down
5627,68,28,down
6055,13,7,up
6055,13,7,down
6301,28,70,up
6301,28,70,down
6381,80,70,up
6381,80,70,down
6394,70,28,up
6394,70,28,down
6843,38,28,up
7380,7,70,up
7380,7,80,up
7380,7,70,down
7409,28,70,up
7456,28,70,down
7536,38,70,up
7554,28,41,up
7661,80,41,up
7664,13,70,up
7664,13,70,down
7690,70,94,up
7690,70,38,up
7690,70,94,down
7713,7,80,down
7938,38,41,up
7938,38,56,up
7938,38,41,down
7974,28,56,up
8004,80,56,up
8004,80,7,up
8004,80,41,down
8008,70,38,down
8115,28,88,up
8203,56,80,up
8263,38,88,up
8263,38,70,down
8263,38,88,down
8316,13,7,up
8316,13,7,down
8343,28,88,down
8364,80,84,up
8364,80,56,down
8364,80,7,down
8510,28,70,up
8510,28,70,down
8533,88,70,up
8533,88,80,up
8533,88,84,up
8533,88,80,down
8564,28,2,up
8614,38,2,up
8687,70,84,up
8687,70,88,up
8696,7,88,up
8696,7,88,down
8732,28,26,up
8732,28,57,up
8846,88,70,down
8846,88,84,down
8869,56,28,up
8869,56,41,up
8980,38,26,up
8980,38,57,up
8980,38,26,down
9033,7,41,up
9033,7,41,down
9048,80,84,down
9165,28,26,down
9210,56,2,up
9210,56,13,up
9296,38,2,down
9296,38,57,down
9296,38,56,down
9347,13,56,up
9377,80,41,up
9465,88,70,up
9465,88,7,up
9465,88,84,up
9525,28,2,down
9555,56,94,up
9555,56,38,up
9555,56,57,up
9555,56,2,down
9555,56,94,down
9555,56,38,down
9555,56,57,down
9555,56,28,down
9568,28,57,down
9605,57,2,up
9605,57,94,up
9605,57,38,up
9605,57,28,up
9605,57,2,down
9605,57,94,down
9605,57,38,down
9605,57,28,down
9672,7,6,up
9672,7,20,up
9672,7,6,down
9672,7,20,down
9677,13,41,up
9677,13,41,down
9719,80,56,up
9719,80,41,down
9733,6,7,up
9733,6,7,down
9886,14,41,up
9886,14,41,down
9903,56,13,down
9974,38,94,down
10015,13,84,up
10015,13,84,down
10060,80,7,up
10099,7,88,up
10219,56,41,down
10288,28,94,down
10325,38,13,up
10325,38,13,down
10350,13,80,down
10350,13,56,down
10403,80,94,up
10403,80,94,down
10403,80,13,down
10403,80,56,down
10427,7,80,up
10532,56,80,down
10626,70,84,down
10626,70,88,down
10645,38,56,up
10736,88,70,down
10860,56,38,up
10860,56,28,up
10860,56,38,down
10860,56,28,down
10958,38,56,down
10998,28,56,down
11037,80,7,down
11086,7,80,down
11293,38,41,up
11378,80,84,up
11378,80,84,down
11405,7,88,down
11489,14,41,up
11489,14,41,down
11676,88,7,down
11963,6,20,down
12001,4,56,up
12153,56,4,up
12266,38,28,down
12285,6,77,up
12285,6,77,down
12302,95,7,up
12302,95,7,down
12315,4,56,down
12445,14,96,up
12445,14,96,down
12467,56,4,down
12509,28,56,up
12664,6,94,up
12664,6,56,up
12664,6,94,down
12688,28,94,up
12741,28,82,up
12741,28,85,up
12741,28,82,down
12813,85,94,up
12813,85,41,up
12813,85,82,up
12813,85,28,up
12813,85,56,up
12813,85,94,down
12813,85,41,down
12813,85,82,down
12820,56,41,up
12820,56,82,up
12820,56,94,up
12820,56,85,up
12820,56,28,up
12820,56,41,down
12820,56,82,down
12820,56,94,down
12888,28,38,down
12933,28,41,down
12933,28,94,down
12956,38,85,up
12956,38,56,up
12956,38,94,up
12956,38,85,down
12956,38,56,down
13338,58,41,up
13338,58,38,up
13338,58,94,up
13338,58,82,up
13338,58,41,down
13575,95,70,up
13575,95,70,down
13716,38,41,down
13795,70,95,up
13982,58,28,up
13982,58,85,up
13982,58,56,up
14076,38,58,up
14076,38,82,up
14123,28,58,up
14123,28,82,up
14123,28,94,up
14123,28,38,up
14129,85,94,up
14129,85,38,up
14129,85,82,up
14129,85,58,up
14193,88,84,down
14405,38,85,up
14405,38,56,up
14409,28,41,up
14481,56,94,up
14481,56,41,up
14481,56,82,up
14481,56,38,up
14481,56,58,up
14614,58,41,up
14724,38,28,up
14734,70,95,down
14927,58,41,down
15047,38,41,up
15047,38,41,down
15064,6,20,up
15064,6,85,up
15064,6,77,up
15064,6,20,down
15064,6,85,down
15064,6,56,down
15078,85,41,up
15078,85,41,down
15244,58,95,up
15244,58,95,down
15495,28,95,up
15497,95,70,up
15664,14,77,up
15664,14,20,up
15664,14,6,up
15695,38,95,up
15719,85,95,up
15754,56,95,up
15813,95,70,down
15850,70,82,up
15850,70,84,up
15850,70,82,down
15891,58,7,up
15891,58,7,down
15942,28,41,down
15987,28,13,up
16013,6,14,up
16031,38,13,up
16031,38,13,down
16031,28,13,down
16067,56,41,down
16116,80,13,up
16165,28,7,up
16165,28,80,up
16165,28,7,down
16165,28,80,down
16174,70,7,up
16280,7,84,up
16280,7,70,up
16280,7,84,down
16291,14,77,down
16291,14,20,down
16291,14,6,down
16326,6,14,down
16326,6,77,down
16395,13,38,up
16395,13,84,up
16395,13,80,up
16395,13,38,down
16402,56,94,down
16402,56,95,down
16402,56,82,down
16402,56,85,down
16402,56,38,down
16402,56,28,down
16402,56,58,down
16432,80,95,up
16522,58,95,up
16619,95,56,up
16619,95,82,up
16619,95,80,up
16619,95,85,up
16619,95,13,up
16619,95,38,up
16619,95,94,up
16619,95,28,up
16619,95,56,down
16619,95,82,down
16736,13,28,up
16736,13,28,down
16801,70,7,down
16861,56,28,up
16861,56,95,up
16861,56,85,up
16861,56,58,up
16861,56,94,up
16861,56,82,up
16861,56,38,up
16861,56,28,down
16863,58,41,up
16863,58,13,up
16863,58,95,down
16863,58,41,down
16863,58,13,down
16863,58,28,down
16905,7,70,down
16994,38,28,down
16998,85,95,down
16998,85,28,down
17008,95,58,up
17008,95,58,down
17008,95,80,down
17008,95,85,down
17057,13,95,up
17075,80,95,down
17076,28,56,down
17076,28,58,down
17076,28,82,down
17125,28,85,down
17185,58,77,up
17208,56,13,up
17208,56,80,up
17208,56,95,down
17208,56,13,down
17208,56,80,down
17316,85,77,up
17378,95,7,up
17378,95,13,down
17378,95,7,down
17378,95,38,down
17378,95,94,down
17409,38,7,up
17409,38,77,up
17409,38,7,down
17409,38,95,down
17416,13,82,up
17416,13,85,up
17416,13,56,up
17416,13,82,down
17416,13,84,down
17416,13,85,down
17416,13,56,down
17505,94,85,up
17505,94,56,up
17505,94,77,up
17505,94,58,up
17505,94,82,up
17524,56,77,up
17753,28,13,up
17753,28,13,down
17823,94,38,up
17953,28,2,up
18009,28,41,up
18024,80,70,up
18040,95,2,up
18040,95,41,up
18040,95,2,down
18040,95,28,down
18051,13,70,up
18051,13,95,down
18069,70,13,up
18069,70,80,up
18097,28,2,down
18097,28,95,down
18152,58,28,up
18152,58,85,down
18179,7,95,up
18179,7,95,down
18262,85,94,down
18262,85,38,down
18262,85,77,down
18262,85,82,down
18262,85,56,down
18262,85,58,down
18320,28,85,up
18320,28,56,up
18320,28,58,up
18320,28,77,up
18320,28,82,up
18320,28,41,down
18337,80,70,down
18353,38,85,down
18418,70,95,up
18418,70,95,down
18418,70,13,down
18418,70,80,down
18451,94,85,down
18476,58,6,up
18476,58,6,down
18477,56,85,down
18500,28,85,down
18658,28,6,up
18658,28,6,down
18671,38,28,up
18675,95,85,up
18675,95,85,down
18695,13,70,down
18739,80,84,up
18739,80,41,up
18739,80,7,up
18739,80,84,down
18771,94,28,up
18807,56,6,up
18807,56,28,up
18807,56,6,down
18870,6,20,up
18870,6,20,down
19018,95,13,up
19018,95,80,up
19018,95,13,down
19018,95,80,down
19027,13,84,up
19027,13,84,down
19153,7,13,up
19331,95,41,down
19375,80,96,up
19375,80,96,down
19386,13,95,up
19460,70,96,up
19614,7,96,up
19614,7,70,up
19614,7,96,down
19614,7,13,down
19619,38,28,down
19619,38,56,down
19619,38,58,down
19619,38,77,down
19619,38,82,down
19619,38,94,down
19729,58,28,down
19732,13,41,up
19732,13,41,down
19891,80,41,down
19891,80,7,down
20014,38,28,up
20014,38,77,up
20014,38,56,up
20014,38,58,up
20014,38,82,up
20014,38,94,up
20101,70,88,up
20101,70,96,down
20202,88,96,up
20202,88,70,up
20202,88,84,up
20202,88,96,down
20261,7,88,up
20261,7,70,down
20261,7,88,down
20327,38,28,down
20350,94,28,down
20356,58,38,down
20370,13,96,up
20370,13,96,down
20404,28,56,down
20404,28,58,down
20404,28,77,down
20404,28,82,down
20404,28,94,down
20413,56,28,down
20567,28,7,up
20640,38,77,down
20640,38,56,down
20640,38,58,down
20663,94,56,down
20669,58,77,down
20689,13,95,down
20726,56,58,down
20726,56,77,down
20726,56,94,down
20731,70,7,up
20811,14,38,up
20811,14,38,down
20838,88,7,up
20909,80,95,up
20909,80,38,up
20914,28,13,up
20914,28,70,up
20914,28,80,up
20914,28,84,up
20914,28,88,up
20914,28,38,down
20958,95,38,up
20977,94,77,down
21014,58,95,up
21014,58,4,up
21014,58,94,down
21014,58,95,down
21014,58,56,down
21014,58,4,down
21029,13,7,up
21029,13,84,up
21029,13,7,down
21030,38,13,up
21030,38,80,up
21030,38,13,down
21030,38,80,down
21211,56,13,up
21211,56,7,up
21211,56,95,up
21211,56,13,down
21211,56,7,down
21211,56,82,down
21211,56,38,down
21298,28,85,up
21346,13,38,up
21346,13,38,down
21361,94,17,up
21361,94,13,up
21361,94,95,up
21361,94,58,down
21362,28,95,up
21456,28,80,down
21469,85,94,up
21469,85,95,up
21469,85,17,up
21469,85,38,up
21469,85,58,up
21469,85,94,down
21469,85,17,down
21469,85,58,down
21471,7,70,up
21471,7,84,up
21471,7,28,up
21471,7,88,up
21471,7,70,down
21471,7,84,down
21471,7,28,down
21471,7,88,down
21552,56,4,up
21623,95,13,up
21623,95,82,up
21623,95,17,up
21623,95,85,up
21623,95,94,up
21623,95,13,down
21656,80,7,up
21656,80,82,up
21656,80,28,up
21656,80,17,up
21656,80,95,down
21656,80,38,down
21656,80,28,down
21660,28,94,up
21667,13,82,up
21667,13,17,up
21667,13,82,down
21679,38,85,up
21729,94,80,up
21729,94,85,up
21774,4,56,up
21774,4,56,down
21782,85,95,down
21782,85,38,down
21805,28,82,up
21811,88,94,up
21811,88,94,down
21866,56,4,down
21898,28,13,down
21898,28,84,down
21958,95,80,up
21958,95,80,down
21958,95,82,down
21969,80,7,down
21969,80,82,down
22006,70,77,up
22006,70,77,down
22030,28,56,up
22030,28,77,up
22030,28,7,down
22030,28,70,down
22030,28,77,down
22030,28,88,down
22030,28,94,down
22042,38,7,up
22042,38,28,up
22042,13,94,up
22042,13,95,up
22042,38,7,down
22042,13,94,down
22042,13,95,down
22105,28,38,up
22105,28,95,down
22124,94,7,up
22124,94,56,up
22124,94,7,down
22124,94,17,down
22124,94,13,down
22124,94,80,down
22138,88,77,up
22138,88,77,down
22151,28,56,down
22151,28,82,down
22151,28,85,down
22151,28,38,down
22204,56,77,up
22204,56,17,up
22204,56,77,down
22229,7,70,up
22229,7,13,up
22229,7,80,up
22229,7,88,up
22229,7,70,down
22229,7,13,down
22229,7,80,down
22237,85,82,up
22237,85,28,up
22237,85,94,up
22237,85,56,up
22237,85,95,up
22237,85,38,up
22237,85,82,down
22293,95,28,up
22293,95,56,up
22322,70,7,down
22386,14,77,up
22399,28,82,up
22399,28,56,up
22399,28,94,up
22399,28,17,up
22399,28,38,up
22399,28,85,up
22451,94,28,up
22487,28,42,up
22542,7,88,down
22551,56,28,up
22551,56,38,up
22551,56,94,up
22591,85,13,up
22591,85,17,up
22591,85,13,down
22627,28,95,up
22672,95,42,up
22672,95,41,up
22672,95,42,down
22672,95,41,down
22672,95,85,down
22672,95,38,down
22674,13,85,up
22709,38,42,up
22709,38,56,up
22709,38,95,up
22709,38,42,down
22764,88,7,down
22764,28,42,down
22845,94,42,up
22845,94,42,down
22845,94,82,down
22868,56,85,up
22893,42,94,up
22893,42,95,up
22893,42,38,up
22893,42,82,up
22893,42,85,up
22893,42,56,up
22893,42,28,up
22893,42,94,down
22893,42,95,down
22893,42,38,down
22893,42,82,down
22893,42,85,down
22893,42,56,down
22893,42,28,down
22914,80,85,up
22914,80,85,down
22932,85,17,down
22985,28,13,up
22987,13,85,down
22996,95,17,down
22996,95,28,down
22996,95,56,down
22996,95,94,down
23045,38,28,down
23120,28,82,down
23165,94,28,down
23202,56,41,up
23202,56,82,up
23202,56,41,down
23202,56,82,down
23245,85,28,down
23267,80,82,up
23267,80,82,down
23332,95,94,up
23332,95,56,up
23332,95,38,up
23332,95,94,down
23332,95,56,down
23332,95,38,down
23370,13,95,up
23387,38,82,down
23485,7,20,up
23485,7,20,down
23622,28,41,up
23684,42,41,up
23684,42,41,down
23684,14,77,down
23701,38,94,down
23701,38,56,down
23709,28,13,down
23753,28,41,down
23836,56,28,down
23836,56,85,down
23836,56,38,down
23838,58,82,down
23903,85,94,down
23903,85,56,down
23907,95,94,up
23907,95,56,up
23907,95,13,up
23907,95,38,up
23907,95,17,up
23907,95,85,up
23907,95,94,down
23907,95,56,down
24029,4,77,up
24131,28,56,down
24131,28,94,down
24165,56,13,up
24165,56,80,up
24165,56,13,down
24165,56,80,down
24166,94,13,up
24166,94,17,up
24166,94,80,up
24166,94,13,down
24166,94,17,down
24166,94,80,down
24240,80,56,up
24240,80,56,down
24249,85,17,up
24249,85,17,down
24341,88,80,up
24341,88,80,down
24385,38,28,up
24385,38,28,down
24423,42,80,up
24423,42,80,down
24429,13,56,up
24429,13,56,down
24450,7,95,up
24450,7,85,up
24450,7,38,up
24450,7,95,down
24450,7,85,down
24450,7,38,down
24507,56,96,up
24529,94,96,up
24529,94,96,down
24555,96,56,up
24599,28,7,up
24599,28,7,down
24600,80,7,up
24600,80,95,up
24600,85,7,up
24600,85,28,up
24600,85,7,down
24740,42,7,up
24755,28,80,up
24820,56,96,down
24842,13,7,up
24842,13,7,down
24845,70,7,up
24869,28,14,up
24869,28,77,up
24869,28,14,down
24869,28,77,down
24890,96,94,up
24890,96,94,down
24890,96,56,down
24913,80,7,down
24913,80,95,down
24969,4,77,down
24973,88,7,up
25106,28,94,up
25123,7,70,up
25123,7,42,up
25123,7,80,up
25123,7,88,up
25123,7,70,down
25123,7,42,down
25123,7,80,down
25123,7,88,down
25153,28,56,up
25158,70,7,down
25179,94,28,up
25197,95,94,up
25197,95,56,up
25203,56,28,up
25203,56,38,up
25203,56,85,up
25286,88,7,down
25307,85,94,up
25307,85,56,up
25355,38,56,up
25355,38,94,up
25369,42,7,down
25423,28,13,up
25423,28,13,down
25423,28,80,down
25474,13,95,down
25474,13,17,down
25474,13,80,down
25474,13,84,down
25512,14,77,up
25647,6,7,up
25647,6,20,up
25647,6,7,down
25647,6,20,down
25831,94,56,down
25874,80,82,up
25874,80,84,up
25890,13,84,up
25890,13,95,up
25890,13,17,up
25890,13,80,up
25890,13,84,down
25903,56,82,up
25903,56,80,up
25903,56,28,down
25903,56,94,down
25960,85,28,down
25995,38,56,down
26176,95,28,up
26224,56,38,down
26275,13,82,up
26315,38,28,up
26315,38,28,down
26321,85,17,up
26321,85,94,down
26321,85,95,down
26321,85,17,down
26321,85,38,down
26321,85,56,down
26390,42,6,up
26390,42,6,down
26465,14,77,down
26506,80,56,up
26506,80,82,down
26544,28,15,up
26561,56,82,down
26588,13,82,down
26603,15,38,up
26603,15,13,up
26603,15,95,up
26603,15,17,up
26603,15,56,up
26603,15,80,up
26603,15,38,down
26662,85,94,up
26662,85,95,up
26662,85,38,up
26662,85,15,up
26662,85,56,up
26662,85,94,down
26662,85,95,down
26662,85,38,down
26662,85,15,down
26662,85,56,down
26849,95,15,up
26849,95,80,up
26930,56,15,up
27142,80,15,up
27154,28,15,down
27172,88,70,down
27172,88,84,down
27222,6,77,up
27230,15,13,down
27242,13,15,up
27349,56,13,up
27349,56,94,up
27349,56,28,up
27372,70,88,down
27396,42,56,up
27396,42,56,down
27466,85,94,up
27466,85,17,up
27466,85,95,up
27466,85,38,up
27466,85,56,up
27466,85,28,up
27474,80,95,up
27474,80,56,down
27522,95,88,up
27522,95,13,down
27525,28,88,up
27606,13,56,up
27606,13,15,down
27619,38,28,up
27710,56,42,up
27710,56,88,up
27710,56,42,down
27710,56,88,down
27791,85,88,up
27884,88,15,up
27884,88,85,up
27884,88,28,up
27884,88,94,up
27884,88,95,up
27884,88,56,up
27884,88,17,up
27884,88,15,down
27903,15,95,down
27903,15,17,down
27903,15,56,down
27903,15,80,down
27956,13,88,up
27956,13,56,down
27956,13,88,down
27985,28,17,down
28096,94,88,up
